slug,subject,year_group,mission_slug,lesson_slug,skill_slug,gcse_domain,difficulty_band,question_type,template,variable_schema_json,answer_expression,acceptable_answer_rules_json,hint_template,explanation_template,misconception_tags_json,source_style,calculator_allowed,is_active,sample_prompt,sample_answer,challenge_use
ratio-proportion-multi_step_ratio_total-gcse_bridge,maths,8-9,ratio-proportion,multi-step-ratio-total,multi_step_ratio_total,number,gcse_bridge,short_text,"Ali, Ben and Cara share money in the ratio {a}:{b}:{c}. Cara gets £{cara}. How much money is shared altogether?","{""a"":[1,2,3],""b"":[2,3,4],""c"":[4,5,6],""unit"":[5,10,20]}",(a+b+c)*unit,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use Cara to find one part.,"Cara has {c} parts. Divide Cara amount by {c}, then multiply by total parts.","[""ratio_total_parts_error""]",gcse-style-original,true,true,"1:2:5, Cara £50",£80,adaptive_challenge_mode
ratio-proportion-inverse_proportion_intro-gcse_bridge,maths,8-9,ratio-proportion,inverse-proportion-intro,inverse_proportion_intro,number,gcse_bridge,short_text,{workers} workers take {days} days to finish a job. How long would {new_workers} workers take at the same rate?,"{""workers"":[2,3,4],""days"":[6,8,12],""new_workers"":[4,6,8]}",workers*days/new_workers,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",More workers means fewer days.,Total worker-days stays the same.,[],gcse-style-original,true,true,4 workers take 6 days. 8 workers?,3 days,adaptive_challenge_mode
straight-line-graphs-read_coordinates-must,maths,8-9,straight-line-graphs,read-coordinates,read_coordinates,algebra,must,short_text,What are the coordinates of point A if it is {x} across and {y} up?,"{""x"":[1,2,3,4,5],""y"":[1,2,3,4,5]}","`(${x}, ${y})`","{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Coordinates are written (x, y).","Go across first, then up/down.",[],gcse-style-original,false,true,"3 across, 4 up","(3,4)",adaptive_challenge_mode
straight-line-graphs-plot_coordinates-must,maths,8-9,straight-line-graphs,plot-coordinates,plot_coordinates,algebra,must,multiple_choice,"Which point is at ({x}, {y})?","{""x"":[-2,-1,1,2,3],""y"":[-3,-1,1,2,4]}",matching coordinate,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","Remember x first, y second.",The first number tells horizontal position; second tells vertical.,[],gcse-style-original,false,true,"Point (2,-3)","x=2,y=-3",adaptive_challenge_mode
straight-line-graphs-gradient_counting-must,maths,8-9,straight-line-graphs,gradient-counting,gradient_counting,algebra,must,short_text,A line goes up {rise} and across {run}. What is its gradient?,"{""rise"":[1,2,3,4,6],""run"":[1,2,3]}",rise/run,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Gradient = rise ÷ run.,Gradient tells steepness: up divided by across.,[],gcse-style-original,false,true,"Up 4, across 2",2,adaptive_challenge_mode
straight-line-graphs-gradient_negative-should,maths,8-9,straight-line-graphs,gradient-negative,gradient_negative,algebra,should,short_text,A line goes down {fall} and across {run}. What is its gradient?,"{""fall"":[1,2,3,4],""run"":[1,2,4]}",-fall/run,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",A line going down has negative gradient.,Gradient is negative because the line slopes down left to right.,[],gcse-style-original,false,true,"Down 3, across 1",-3,adaptive_challenge_mode
straight-line-graphs-y_intercept_from_equation-must,maths,8-9,straight-line-graphs,y-intercept-from-equation,y_intercept_from_equation,algebra,must,short_text,What is the y-intercept of y = {m}x + {c}?,"{""m"":[1,2,3,4,-1,-2],""c"":[1,2,3,4,5,-2]}",c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","In y = mx + c, c is the y-intercept.",The line crosses the y-axis at c.,[],gcse-style-original,false,true,y=4x+3,3,adaptive_challenge_mode
straight-line-graphs-gradient_from_equation-should,maths,8-9,straight-line-graphs,gradient-from-equation,gradient_from_equation,algebra,should,short_text,What is the gradient of y = {m}x + {c}?,"{""m"":[1,2,3,4,-1,-2],""c"":[1,2,3,4]}",m,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}","In y = mx + c, m is the gradient.",The coefficient of x is the gradient.,[],gcse-style-original,false,true,y=2x+5,2,adaptive_challenge_mode
straight-line-graphs-complete_table_linear-should,maths,8-9,straight-line-graphs,complete-table-linear,complete_table_linear,algebra,should,short_text,"For y = {m}x + {c}, find y when x = {x}.","{""m"":[2,3,4,-1],""c"":[1,2,3,5],""x"":[0,1,2,3]}",m*x+c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Substitute x into the equation.,"Replace x with {x}, then calculate.",[],gcse-style-original,false,true,"y=2x+3, x=4",11,adaptive_challenge_mode
straight-line-graphs-identify_equation_from_gradient_intercept-could,maths,8-9,straight-line-graphs,identify-equation-from-gradient-intercept,identify_equation_from_gradient_intercept,algebra,could,short_text,A line has gradient {m} and y-intercept {c}. Write its equation.,"{""m"":[1,2,3,-1,-2],""c"":[1,2,3,4,-3]}",`y = ${m}x + ${c}`,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Use y = mx + c.,Put the gradient in place of m and intercept in place of c.,[],gcse-style-original,false,true,"gradient 2, intercept 3",y=2x+3,adaptive_challenge_mode
straight-line-graphs-parallel_lines_gradient-could,maths,8-9,straight-line-graphs,parallel-lines-gradient,parallel_lines_gradient,algebra,could,short_text,A line is parallel to y = {m}x + {c}. What is its gradient?,"{""m"":[1,2,3,-1,-2],""c"":[1,2,3,4]}",m,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Parallel lines have the same gradient.,Same steepness means same gradient.,[],gcse-style-original,false,true,Parallel to y=3x+2,3,adaptive_challenge_mode
straight-line-graphs-gradient_between_points-could,maths,8-9,straight-line-graphs,gradient-between-points,gradient_between_points,algebra,could,short_text,"Find the gradient between ({x1},{y1}) and ({x2},{y2}).","{""x1"":[0,1,2],""y1"":[1,2,3],""dx"":[1,2,3,4],""dy"":[2,4,6,8]}",dy/dx,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Gradient = change in y ÷ change in x.,Find rise over run between the two points.,[],gcse-style-original,false,true,"(1,2) to (3,6)",2,adaptive_challenge_mode
straight-line-graphs-distance_time_reading-must,maths,8-9,straight-line-graphs,distance-time-reading,distance_time_reading,algebra,must,short_text,"On a distance-time graph, the distance at {time} minutes is {dist} m. How far has the person travelled?","{""time"":[10,15,20,30],""dist"":[500,1000,1500,2000]}",dist,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Read the vertical value.,Distance is read from the y-axis.,[],gcse-style-original,false,true,At 20 min graph shows 1500m,1500 m,adaptive_challenge_mode
straight-line-graphs-distance_time_stop-should,maths,8-9,straight-line-graphs,distance-time-stop,distance_time_stop,algebra,should,short_text,"On a distance-time graph, a horizontal line lasts from {t1} to {t2} minutes. How long was the stop?","{""t1"":[10,20,30],""duration"":[5,10,15,20]}",duration,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Horizontal means no change in distance.,Stop time is the difference between times.,[],gcse-style-original,false,true,Horizontal from 20 to 35 min,15 minutes,adaptive_challenge_mode
straight-line-graphs-distance_time_speed-could,maths,8-9,straight-line-graphs,distance-time-speed,distance_time_speed,algebra,could,short_text,A cyclist travels {dist} km in {time} hours. Find the average speed in km/h.,"{""dist"":[6,8,12,15],""time"":[0.5,1,1.5,2]}",dist/time,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Speed = distance ÷ time.,Divide kilometres by hours.,[],gcse-style-original,false,true,12 km in 1.5 hours,8 km/h,adaptive_challenge_mode
straight-line-graphs-distance_time_return_journey-gcse_bridge,maths,8-9,straight-line-graphs,distance-time-return-journey,distance_time_return_journey,algebra,gcse_bridge,short_text,"A runner goes {dist} km from home in {out_time} minutes, rests for {rest} minutes, then returns in {back_time} minutes. How long is the whole journey?","{""dist"":[2,3,4],""out_time"":[20,30,40],""rest"":[10,15,20],""back_time"":[20,25,30]}",out_time+rest+back_time,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Add travel and rest times.,"Whole journey includes outward time, rest time and return time.",[],gcse-style-original,true,true,"30 min out, 15 rest, 25 back",70 minutes,adaptive_challenge_mode
straight-line-graphs-line_graph_context-gcse_bridge,maths,8-9,straight-line-graphs,line-graph-context,line_graph_context,algebra,gcse_bridge,short_text,"A taxi fare is y = {m}x + {c}, where x is miles. What is the fare for {x} miles?","{""m"":[2,3,4],""c"":[3,4,5],""x"":[4,6,8]}",m*x+c,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Substitute miles into x.,Calculate fixed charge plus cost per mile.,[],gcse-style-original,true,true,y=3x+4 for 6 miles,£22,adaptive_challenge_mode
probability-probability_scale-must,maths,8-9,probability,probability-scale,probability_scale,statistics_probability,must,multiple_choice,Which probability means impossible?,{},0,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Impossible has probability 0.,The probability scale runs from 0 to 1.,[],gcse-style-original,false,true,Impossible probability,0,adaptive_challenge_mode
probability-simple_probability-must,maths,8-9,probability,simple-probability,simple_probability,statistics_probability,must,short_text,A bag has {red} red counters and {blue} blue counters. What is P(red)?,"{""red"":[1,2,3,4],""blue"":[2,3,4,5]}",red/(red+blue),"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Probability = wanted outcomes ÷ total outcomes.,"Add counters, then put red over total.",[],gcse-style-original,false,true,"2 red, 3 blue",2/5,adaptive_challenge_mode
probability-probability_complement-should,maths,8-9,probability,probability-complement,probability_complement,statistics_probability,should,short_text,The probability of rain is {p}. What is the probability it does not rain?,"{""p"":[0.1,0.2,0.25,0.4,0.6]}",1-p,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Probabilities for all outcomes add to 1.,Not rain = 1 - rain probability.,[],gcse-style-original,false,true,P(rain)=0.3,0.7,adaptive_challenge_mode
probability-expected_frequency-should,maths,8-9,probability,expected-frequency,expected_frequency,statistics_probability,should,short_text,"The probability of winning is {num}/{den}. If {trials} people play, how many are expected to win?","{""num"":[1,2,3],""den"":[4,5,10],""trials"":[40,50,100,200]}",trials*num/den,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Expected frequency = probability × number of trials.,Multiply the probability by the number of people.,[],gcse-style-original,false,true,"P=1/4, 80 plays",20,adaptive_challenge_mode
probability-spinner_probability-must,maths,8-9,probability,spinner-probability,spinner_probability,statistics_probability,must,short_text,A spinner has {total} equal sections and {win} are green. What is P(green)?,"{""total"":[4,5,6,8,10],""win"":[1,2,3]}",win/total,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Green sections over total sections.,All sections are equally likely.,[],gcse-style-original,false,true,"8 sections, 2 green",1/4,adaptive_challenge_mode
probability-dice_probability-should,maths,8-9,probability,dice-probability,dice_probability,statistics_probability,should,short_text,A fair dice is rolled. What is the probability of rolling a number greater than {n}?,"{""n"":[2,3,4,5]}",(6-n)/6,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Count the successful outcomes.,Numbers greater than {n} are counted out of 6.,[],gcse-style-original,false,true,greater than 4,2/6 = 1/3,adaptive_challenge_mode
probability-cards_probability-should,maths,8-9,probability,cards-probability,cards_probability,statistics_probability,should,short_text,A card is chosen from numbers 1 to {n}. What is the probability of choosing an even number?,"{""n"":[6,8,10,12]}",floor(n/2)/n,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",Count the even numbers.,Even outcomes divided by total outcomes.,[],gcse-style-original,false,true,1 to 10 even,5/10 = 1/2,adaptive_challenge_mode
probability-sample_space_two_dice-could,maths,8-9,probability,sample-space-two-dice,sample_space_two_dice,statistics_probability,could,short_text,Two fair coins are flipped. What is the probability of getting two heads?,{},1/4,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",List the four outcomes.,"HH, HT, TH, TT are equally likely.",[],gcse-style-original,false,true,two heads from two coins,1/4,adaptive_challenge_mode
probability-probability_table_missing-could,maths,8-9,probability,probability-table-missing,probability_table_missing,statistics_probability,could,short_text,"A probability table has P(red)={r}, P(blue)={b}. The only other colour is green. Find P(green).","{""r"":[0.2,0.25,0.3],""b"":[0.3,0.4,0.5]}",1-r-b,"{""normalise"": [""trim"", ""lowercase"", ""remove_spaces""], ""tolerance"": 0.01}",The probabilities must add to 1.,Subtract known probabilities from 1.,[],gcse-style-original,false,true,"P(red)=0.2, P(blue)=0.5",0.3,adaptive_challenge_mode
